,Unnamed: 0,id,created_at,username,location,following,followers,retweetcount,text,azure_polar,azure_class,blob_polar,blob_subj
0,0,1496635945155960835,2022-02-23 23:59:50+00:00,DafinStudio,,200,67,1,I Stand With Ukraine TShirtUkraineRussiaCrisis UkraineRussia UkraineWar UkraineWillResist UkraineRussie UkraineCrisis Ukraina StandWithUkraine StandWithUkrain,-0.96,negative,0.0,0.0
1,1,1496635862574321669,2022-02-23 23:59:30+00:00,martinigrimaldi,,97,10525,0,Titles that will make history Japan imposes sanctions on Russia Japan A country that imports 94 of its energy and counts on Russia for its domestic needs for coal gas and oilUkraine UkraineRussia,-0.04999999999999999,neutral,0.0,0.1
2,2,1496635580532211712,2022-02-23 23:58:23+00:00,anainkc,"Kansas City, MO",66,490,7,AND JUST LIKE THAT INFLATION THE supplychaincrisis ARE BECAUSE OF PUTIN RUSSIA UKRAINE UkraineRussia,0.009999999999999995,neutral,0.0,0.0
3,3,1496635414517481472,2022-02-23 23:57:43+00:00,keddle01,,5026,5112,1020,The Simpsons predicted theCrisis of Putin RussiaUkraine and Donetsk andLuhansk way before it was cool RussiaUkraineCrisisUkraina ukrainerussia USA,-0.99,negative,0.35,0.65
4,4,1496635050888208388,2022-02-23 23:56:16+00:00,Macid3000,"51.46386,0.006213",4825,2211,8886,Putin convened an unscheduled meeting with his Security Council in Moscow on Monday The meeting was broadcast at 5 pm But what time was it really held Lets look at some participants watches Sergei Shoigu amp Sergei Lavrov prep at 1145 OSINT UkraineRussia Russia Ukraine,0.30999999999999994,positive,0.2,0.2
10,10,1496633665652207617,2022-02-23 23:50:46+00:00,52Evo,"Roanoke, VA",258,57,71,AF Branco Cartoon Leading From Behind BidenBorderCrisis biden BidensAmerica UkraineRussia,-0.65,negative,-0.4,0.7
13,13,1496632692078743553,2022-02-23 23:46:54+00:00,runPattirun,,7526,7700,4,ukrainerussia Lets not forget how Trump compromised security in Ukraine by witholding military aid in exchange for dirt on POTUS and simultaneously switch blame for the interference in 2016 from RussiaMikePompeo MickMulvaney were part of it,-0.87,negative,-0.1,0.1
17,17,1496632411299274753,2022-02-23 23:45:47+00:00,wavetossed,"Vancouver, BC",110,4870,1,Whats the difference Thats a good question One without a good answerUkraine UkraineRussia UkraineRussiaCrisis Donbass,-0.44999999999999996,negative,0.7,0.6000000000000001
19,19,1496631989092315138,2022-02-23 23:44:06+00:00,cyv8tc6r,,63,2,47,UkraineConflict in a few wordsUkraina Russia ukrainerussia,-0.95,negative,-0.2,0.1
21,21,1496631930464391169,2022-02-23 23:43:52+00:00,juliebhunt,San Antonio TX,1474,4221,534,Then we have Moscow Mayor Sergei Sobyanin all prim and proper at 1210 OSINT UkraineRussia Russia Ukraine,-0.03,neutral,0.0,0.1
